COT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-5-18,34,30,25,27,26,25,100,83,53,1011,1009,1007,16,10,2,19,2,,17.02,6,Rain-Thunderstorm,310
2013-5-19,34,29,24,26,26,24,100,76,54,1010,1008,1006,16,10,5,19,2,,0.00,6,,287
2013-5-20,32,28,24,27,26,25,96,86,62,1010,1009,1006,16,11,10,10,0,,0.00,7,Rain-Thunderstorm,300
2013-5-21,31,27,23,26,24,23,100,84,62,1013,1009,1006,14,10,8,14,2,,0.00,6,Thunderstorm,315
2013-5-22,31,27,23,25,24,23,100,87,60,1011,1009,1007,16,9,3,11,0,,3.05,7,Rain-Thunderstorm,340
2013-5-23,31,27,22,26,25,24,100,84,68,1011,1010,1008,18,11,9,0,0,,0.00,6,,-1
2013-5-24,31,27,23,25,24,24,96,78,60,1012,1010,1008,14,10,3,0,0,,0.00,6,,-1
2013-5-25,34,29,25,26,26,25,100,76,58,1012,1009,1007,16,11,8,11,0,,0.00,5,,300
2013-5-26,35,29,24,26,25,24,100,76,53,1010,1009,1006,14,9,3,14,0,,0.00,5,,310
2013-5-27,31,27,22,26,24,23,100,85,66,1012,1009,1006,14,9,6,11,0,,3.05,6,Rain-Thunderstorm,340
2013-5-28,34,29,24,26,26,24,100,79,56,1010,1008,1006,16,11,8,14,2,,0.00,5,,307
2013-5-29,31,27,23,25,24,23,100,82,55,1012,1010,1007,16,11,9,11,2,,0.76,6,Rain,165
2013-5-30,33,28,23,26,24,24,100,74,54,1011,1009,1007,14,10,2,0,0,,0.00,5,Thunderstorm,-1
2013-5-31,29,26,23,26,24,23,100,89,78,1013,1011,1009,16,11,10,11,0,,3.05,8,Rain,240
2013-6-1,33,28,22,25,24,23,100,71,52,1014,1010,1008,18,12,10,0,0,,0.00,5,,-1
2013-6-2,34,29,24,26,26,24,100,78,56,1011,1009,1006,14,10,8,14,0,,0.00,4,,310
2013-6-3,34,29,23,26,24,23,100,78,59,1010,1008,1005,18,11,10,10,0,,8.89,4,Rain-Thunderstorm,310
2013-6-4,34,28,22,26,24,23,100,75,49,1010,1008,1005,16,11,10,14,2,,0.00,5,,280
2013-6-5,33,28,22,26,24,23,100,80,57,1011,1008,1006,18,11,1,0,0,,100.08,4,Rain-Thunderstorm,-1
2013-6-6,34,29,24,26,24,23,100,75,51,1011,1008,1005,18,11,9,14,2,,36.07,5,Rain-Thunderstorm,210
2013-6-7,34,28,23,27,26,24,100,75,53,1010,1008,1005,14,11,9,0,0,,0.00,6,,-1
2013-6-8,32,29,25,27,26,24,100,84,64,1009,1005,973,14,9,6,10,0,,0.00,6,,320
2013-6-9,35,29,23,27,26,24,95,76,53,1009,1007,1005,16,11,10,14,2,,0.00,5,,303
